fold,epoch,train_loss,train_acc,val_loss,val_acc
7.0,0.0,0.970460113058699,0.5771111111111111,0.9343087449669838,0.604
7.0,1.0,0.9239982827335385,0.6095555555555555,0.9036589562892914,0.656
7.0,2.0,0.8946889220400059,0.6535555555555556,0.8897776380181313,0.654
7.0,3.0,0.878989094960774,0.67,0.8826473653316498,0.646
7.0,4.0,0.862804003218387,0.6842222222222222,0.8676319532096386,0.67
7.0,5.0,0.8541738716423088,0.6968888888888889,0.8631004169583321,0.69
7.0,6.0,0.8432027021198408,0.7082222222222222,0.8565525114536285,0.68
7.0,7.0,0.8342904220236108,0.7168888888888889,0.8472753800451756,0.708
7.0,8.0,0.828335628019157,0.7237777777777777,0.843436349183321,0.706
7.0,9.0,0.8219367823702224,0.7357777777777778,0.8411642722785473,0.702
7.0,10.0,0.8193883566146202,0.7353333333333333,0.8403219431638718,0.716
7.0,11.0,0.814045674834691,0.7395555555555555,0.8384674675762653,0.716
7.0,12.0,0.8126390331180383,0.7422222222222222,0.8386037722229958,0.714
7.0,13.0,0.8078196006463775,0.7455555555555555,0.8374292366206646,0.716
7.0,14.0,0.8090002638228396,0.7417777777777778,0.833592850714922,0.718
7.0,15.0,0.8058710563267376,0.7466666666666667,0.8322137705981731,0.714
7.0,16.0,0.8026345262290738,0.7542222222222222,0.8351169489324093,0.716
7.0,17.0,0.8010451472397392,0.7511111111111111,0.8330377638339996,0.716
7.0,18.0,0.7992350154734672,0.7542222222222222,0.8295377902686596,0.718
7.0,19.0,0.7973768626544493,0.7533333333333333,0.8369931280612946,0.716
7.0,20.0,0.8006630476484907,0.7504444444444445,0.8327100202441216,0.714
7.0,21.0,0.7923266524118735,0.7595555555555555,0.8317019864916801,0.714
7.0,22.0,0.7916060567747617,0.762,0.8361120745539665,0.718
7.0,23.0,0.789985459324316,0.7653333333333333,0.8325110152363777,0.716
7.0,24.0,0.7888672144700449,0.7655555555555555,0.8282628655433655,0.708
7.0,25.0,0.7877992852359799,0.7671111111111111,0.8290787786245346,0.714
7.0,26.0,0.7892925130560043,0.7617777777777778,0.839048083871603,0.706
7.0,27.0,0.7853868688251955,0.772,0.8279629908502102,0.714
7.0,28.0,0.7838440744589407,0.7688888888888888,0.8335077799856663,0.716
7.0,29.0,0.7830374963740085,0.7746666666666666,0.8365724794566631,0.718
