fold,epoch,train_loss,train_acc,val_loss,val_acc
9.0,0.0,0.9635445872942606,0.5804444444444444,0.9446957632899284,0.592
9.0,1.0,0.9207543798372255,0.6157777777777778,0.9181323684751987,0.608
9.0,2.0,0.8963098678183048,0.6464444444444445,0.8846215941011906,0.676
9.0,3.0,0.8785869128315161,0.6688888888888889,0.8819688223302364,0.652
9.0,4.0,0.8671174598923812,0.6842222222222222,0.8695516251027584,0.67
9.0,5.0,0.8557777041239096,0.6951111111111111,0.8520945124328136,0.694
9.0,6.0,0.8435294886007376,0.7068888888888889,0.836249340325594,0.732
9.0,7.0,0.8379947754508215,0.712,0.8419404812157154,0.714
9.0,8.0,0.8330735868596016,0.7166666666666667,0.8256789185106754,0.714
9.0,9.0,0.8307544610179063,0.7206666666666667,0.8401446305215359,0.708
9.0,10.0,0.8295755758353159,0.7213333333333334,0.8091559894382954,0.766
9.0,11.0,0.8186959632745026,0.7366666666666667,0.8142927698791027,0.746
9.0,12.0,0.8167526375317404,0.7362222222222222,0.8140698708593845,0.732
9.0,13.0,0.8187006542868648,0.7268888888888889,0.8087527081370354,0.74
9.0,14.0,0.8139388996658595,0.7417777777777778,0.8082435801625252,0.746
9.0,15.0,0.8123326428393101,0.7373333333333333,0.806597113609314,0.744
9.0,16.0,0.8090805225338497,0.7411111111111112,0.7986940033733845,0.758
9.0,17.0,0.8085637739364137,0.746,0.7961793355643749,0.76
9.0,18.0,0.8046217645313722,0.7482222222222222,0.809313390403986,0.732
9.0,19.0,0.8051836820358925,0.7422222222222222,0.8074828498065472,0.734
9.0,20.0,0.8060747262433912,0.7431111111111111,0.7987628504633904,0.754
9.0,21.0,0.8020275826995255,0.7495555555555555,0.8042823001742363,0.75
9.0,22.0,0.8004567974002649,0.7493333333333333,0.7912430725991726,0.764
9.0,23.0,0.8008492483314893,0.7524444444444445,0.7953415550291538,0.758
9.0,24.0,0.7996285845201911,0.7508888888888889,0.7901321388781071,0.762
9.0,25.0,0.7973327911491935,0.756,0.7856436632573605,0.768
9.0,26.0,0.7954167021927259,0.7564444444444445,0.7945013530552387,0.758
9.0,27.0,0.794347160674156,0.76,0.7933953925967216,0.764
9.0,28.0,0.7962354231388011,0.7535555555555555,0.7908939123153687,0.762
9.0,29.0,0.7931677221406436,0.7604444444444445,0.7884759418666363,0.762
